ΚΩΔΙΚΟΣ,ΕΞΑΜΗΝΟ,ΜΑΘΗΜΑ,ΔΙΔΑΚΤΙΚΕΣ ΜΟΝΑΔΕΣ
101,1,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ,5
102,1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ,7
103,1,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ Ι,7
104,1,ΛΟΓΙΚΗ ΣΧΕΔΙΑΣΗ,5
105,1,ΗΛΕΚΤΡΟΝΙΚΗ,6
201,2,ΑΡΧΕΣ ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΣΜΟΥ & ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,6
202,2,ΠΡΩΤΟΚΟΛΛΑ ΚΑΙ ΑΡΧΙΤΕΚΤΟΝΙΚEΣ ΔΙΚΤΥΩΝ,6
203,2,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,6
204,2,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΙΙ,7
205,2,ΨΗΦΙΑΚΑ ΗΛΕΚΤΡΟΝΙΚΑ,5
301,3,ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ,6
302,3,ΑΝΤΙΚΕΙΜΕΝΟΣΤΡΑΦΗΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,7
303,3,ΣΗΜΑΤΑ & ΣΥΣΤΗΜΑΤΑ,6
304,3,ΔΙΑΔΟΣΗ ΣΗΜΑΤΩΝ,5
305,3,ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ,6
401,4,ΑΡΧΕΣ ΓΛΩΣΣΩΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ,6
402,4,ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ,7
403,4,ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,6
404,4,ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ,6
